manc_1.2.1,maol_1.1,mcns_0.9
12749,10046,537032
10477,10093,10009
10010,10060,38220
10108,10009,92740
10777,10687,19589
10229,11212,10001
10118,93046,10091
10011,15367,10115
10042,11157,10030
10151,49843,10005
10172,14485,14373
10013,10266,11554
10088,10372,10338
10014,28035,10477
36805,29190,19521
10130,24881,29297
11067,11926,14051
11015,49050,10138
10409,26379,10122
10101,21065,10363
10331,22397,15506
12873,21632,11271
11259,18201,11082
10879,40597,60532
11029,18635,10690
10305,37772,10123
18454,22025,10078
14534,31607,10189
13928,25423,10282
15764,17996,11069
12717,18648,54136
11755,16258,12392
10208,44337,10119
10155,29128,10426
10614,20546,15571
16805,11152,98084
11059,14027,119970
12128,12295,58790
10611,21782,16877
10073,10508,31581
10510,11719,11267
24856,12629,10092
11558,10264,10966
18886,12472,11669
12752,10327,12945
23239,70883,14865
11982,17135,13419
10826,10206,10166
10389,25893,10249
17636,22213,14135
12895,30067,10236
15812,20626,10562
11519,10803,10101
11970,57970,10038
12951,10860,10141
13313,13931,15286
159928,11161,11179
24558,64668,10331
19775,44631,10553
21476,59562,10563
18554,13196,10538
24369,20369,12734
14798,14233,10336
17133,25135,10692
23437,176300,15051
21794,54730,15347
40218,72169,11333
25461,10542,10368
15963,21808,10811
19148,23778,515321
13672,42732,14840
12132,19259,11152
15524,25602,10529
16273,69551,10129
20194,29006,10157
13777,16755,14326
14372,16355,10019
15349,10178,10003
15443,22178,11899
11953,53009,17974
18117,22555,23234
10002,16890,12604
10000,17207,15267
12311,28225,35640
12997,27188,10340
10482,22431,10114
28408,19156,10843
10359,29807,10612
10493,33470,14919
11971,20259,22810
14447,23777,21335
16501,21124,10209
13415,20785,10198
17874,21293,19665
10401,17632,20598
14247,19597,38110
10094,26492,29232
12768,13679,15708
18993,24668,10267
13825,22300,12690
14485,47290,12859
12436,56948,12588
11729,26268,10956
13399,22510,11296
13801,25902,11690
14549,24854,11858
11634,46107,11939
11210,63956,12666
24989,63745,10722
13150,94747,13814
10571,38083,16131
16214,27417,11054
14503,18383,10388
14322,28700,11198
12524,60935,10979
14967,31040,10873
